LABELS
SEPARATOR TAB
DATA
G000005825	s__Bacillus pseudofirmus
G000176855	s__Acidovorax avenae
G000176915	s__Desulfovibrio aespoeensis
G000177015	s__Ruminococcaceae bacterium D16
G000177075	s__Prevotella buccalis
G000177235	s__Bacillus cellulosilyticus
G000177335	s__Pyramidobacter piscolens
G000177375	s__Bulleidia extructa
G000177555	s__Megasphaera genomosp. type_1
G000177615	s__Frankia symbiont of Datisca glomerata
G000177635	g__Desulfurispirillum
G000178115	g__Ethanoligenens
G000178455	s__Brevibacterium mcbrellneri
G000178475	s__Lactobacillus amylolyticus
G000178815	s__Methylosinus trichosporium
G000178835	s__Cellulosilyticum lentocellum
G000178955	s__Granulicella mallensis
G000178975	s__Granulicella tundricola
G000179235	s__Synechococcus sp. CB0101
G000179255	s__Synechococcus sp. CB0205
G000179315	s__delta proteobacterium NaphS2
G000179555	s__Desulfovibrio fructosivorans
G000179575	s__Methanothermococcus okinawensis
G000179595	s__Acetivibrio cellulolyticus
G000179615	s__Paenibacillus curdlanolyticus
G000179635	s__Ruminococcus albus
G000179775	s__Ahrensia sp. R2A130
G000179815	s__Acidithiobacillus sp. GGI-221
G000179915	s__Terriglobus saanensis
G000180175	s__Plautia stali symbiont
G000180455	s__[Oscillatoria] sp. PCC 6506
G000181475	g__Gimesia
G000181895	s__Borreliella spielmanii
G000182745	s__Komagataeibacter medellinensis
G000183135	s__Paludibacter propionicigenes
G000183325	s__Corynebacterium bovis
G000183405	g__Calditerrivibrio
G000183425	s__Marivirga tractuosa
G000183525	s__[Eubacterium] cellulosolvens
G000183545	s__Thermaerobacter subterraneus
G000183565	s__Peptoniphilus harei
G000183585	s__Clostridium sp. HGF2
G000183685	s__Staphylococcus hominis
G000183725	s__Sulfuricurvum kujiense
G000183745	g__Oceanithermus
G000184535	s__Lactobacillus farciminis
G000184685	s__Intrasporangium calvum
G000184705	s__Thermaerobacter marianensis
G000184745	s__Variovorax paradoxus
G000184945	s__Prevotella buccae
G000185145	s__Prevotella oralis
G000185365	s__Enterococcus italicus
G000185385	s__Lachnoanaerobaculum saburreum
G000185465	s__Lactobacillus fructivorans
G000185505	g__Pseudoramibacter
G000185725	s__Segniliparus rugosus
G000185805	s__Thermovibrio ammonificans
G000185845	s__Prevotella salivae
G000185885	s__Staphylococcus pseudintermedius
G000185905	s__Mesorhizobium ciceri
G000185925	s__Paracoccus sp. TRP
G000185985	s__Ca. Blochmannia vafer
G000186165	s__Neisseria mucosa
G000186245	g__Nitratifractor
G000186265	s__Cellulophaga algicola
G000186345	g__Isosphaera
G000186365	s__Desulfurococcus mucosus
G000186425	g__Lautropia
G000186705	s__Citromicrobium sp. JLT1363
G000186885	s__Desulfobulbus propionicus
G000187005	s__Thermus scotoductus
G000187465	s__Streptococcus infantis
G000187625	s__Helicobacter suis
G000187895	s__Bacteroides plebeius
G000187975	s__Streptococcus criceti
G000187995	s__Streptococcus macacae
G000188015	s__Streptococcus ictaluri
G000188035	s__Streptococcus pseudoporcinus
G000188055	s__Streptococcus urinalis
G000188155	s__Methylocystis sp. ATCC 49242
G000188195	g__Succinatimonas
G000189415	g__Weeksella
G000189595	s__[Clostridium] symbiosum
G000189775	s__Thermoanaerobacterium xylanolyticum
G000190315	s__Vulcanisaeta moutnovskia
G000190415	s__Ca. Odyssella thessalonicensis
G000190435	s__Sphaerochaeta globosa
G000190475	s__Ornithinibacillus scapharcae
G000190535	s__Odoribacter splanchnicus
G000190555	s__Deinococcus proteolyticus
G000190575	s__Bacteroides salanitronis
G000190595	s__Cellulophaga lytica
G000190635	g__Syntrophobotulus
G000190695	s__Kingella denitrificans
G000190735	s__Pseudopedobacter saltans
G000190755	s__Methylobacter tundripaludum
G000191045	s__Desulfurobacterium thermolithotrophum
G000191065	s__Prevotella multiformis
G000191585	s__Methanobacterium lacus
G000192225	s__Capnocytophaga sp. oral taxon 338
G000192435	s__Gordonia neofelifaecis
G000192475	s__Ruegeria conchae
G000192575	s__Novosphingobium nitrogenifigens
G000192745	g__Polymorphum
G000192845	s__Sphingobacterium sp. 21
G000192865	s__Marinomonas mediterranea
G000193225	s__Verminephrobacter aporrectodeae
G000193375	s__Thermoproteus uzoniensis
G000193395	s__Prevotella denticola
G000193435	s__Caldicellulosiruptor lactoaceticus
G000194135	s__Hippea maritima
G000194155	s__Saccharopolyspora spinosa
G000194605	s__Fluviicola taffensis
G000194625	s__Archaeoglobus veneficus
G000194925	s__Neisseria bacilliformis
G000194985	s__Dialister micraerophilus
G000195085	s__Ca. Pelagibacter sp. IMCC9063
G000195205	s__Oxalobacteraceae bacterium IMCC9480
G000195275	s__Treponema succinifaciens
G000195295	s__Desulfobacca acetoxidans
G000195315	g__Coriobacterium
G000195335	g__Marinithermus
G000195635	s__Bacteroides fluxus
G000195715	s__Bordetella pertussis
G000195735	s__Rickettsia prowazekii
G000195835	s__Mycobacterium bovis
G000195855	s__Mycobacterium leprae
G000195915	s__Thermoplasma acidophilum
G000195935	s__Pyrococcus abyssi
G000195975	s__Synechococcus sp. WH 8102
G000195995	g__Salmonella
G000196015	s__Cupriavidus metallidurans
G000196135	s__Wolinella succinogenes
G000196235	s__Arthrobacter sp. FB24
G000196255	s__Photobacterium profundum
G000196275	s__Deinococcus geothermalis
G000196295	s__Neisseria lactamica
G000196315	g__Croceibacter
G000196355	s__Nitrosospira multiformis
G000196395	s__Aeromonas salmonicida
G000196455	g__Acetoanaerobium
G000196495	s__Aliivibrio salmonicida
G000196515	s__Trichormus azollae
G000196615	s__Erwinia billingiae
G000196655	g__Methanohalobium
G000196675	s__Pseudonocardia dioxanivorans
G000196695	s__Rhodococcus equi
G000196815	s__Nitrospira defluvii
G000196835	s__Amycolatopsis mediterranei
G000196855	s__Leuconostoc gelidum
G000196875	s__Halomonas elongata
G000196895	g__Halalkalicoccus
G000198515	s__gamma proteobacterium HdN1
G000198775	s__Paraburkholderia rhizoxinica
G000199675	s__Anaerolinea thermophila
G000200595	s__Helicobacter felis
G000200715	f__Cenarchaeaceae
G000202835	s__Acidiphilium multivorum
G000203835	s__Streptomyces coelicolor
G000203895	s__Paracoccus denitrificans
G000204015	s__Asticcacaulis biprosthecium
G000204035	s__Brevundimonas diminuta
G000204075	s__Anabaena variabilis
G000204155	g__Verrucosispora
G000204195	s__Acidovorax radicis
G000204235	s__Propionibacterium humerusii
G000204315	s__gamma proteobacterium IMCC3088
G000204415	s__Methanosaeta concilii
G000204605	s__Streptomyces griseoaurantiacus
G000204645	g__Alicycliphilus
G000204925	s__Metallosphaera cuprina
G000205025	s__Parasutterella excrementihominis
G000205165	s__Paraprevotella xylaniphila
G000208385	s__Sphaerochaeta coccoides
G000208405	s__Selenomonas sputigena
G000209385	s__Lachnospiraceae bacterium 2_1_46FAA
G000209465	s__Lachnospiraceae bacterium oral taxon 500
G000209515	s__gamma proteobacterium IMCC1989
G000209655	s__Pusillimonas sp. T7-7
G000210055	g__Gordonibacter
G000210095	s__Ruminococcus champanellensis
G000210575	s__Alistipes shahii
G000210715	g__Fretibacterium
G000210915	g__Halobacteriovorax
G000211475	s__Pyrococcus sp. NA2
G000211835	g__Hylemonella
G000211855	s__Lacinutrix sp. 5H-3-7-4
G000212335	s__Glaciecola sp. 4H-3-7+YE-5
G000212395	g__Thermodesulfobium
G000212415	s__Treponema brennaborense
G000212675	s__Desulfovibrio africanus
G000212695	s__Cellulomonas fimi
G000212735	g__Haliscomenobacter
G000212915	s__Bacteroides coprosuis
G000213055	s__Streptomyces sp. Tu6071
G000213215	s__Acidianus hospitalis
G000213255	f__Thermoanaerobacterales Family IV. Incertae Sedis
G000213295	s__Capnocytophaga sp. oral taxon 329
G000213335	s__SAR324 cluster bacterium SCGC AAA001-C10
G000213355	s__SAR324 cluster bacterium SCGC AAA240-J09
G000213555	s__Dysgonomonas gadei
G000213575	s__Dysgonomonas mossii
G000213595	g__Desmospora
G000213805	s__Pseudomonas fulva
G000213825	s__Streptococcus parauberis
G000213935	s__Corynebacterium nuruki
G000213975	s__Centipeda periodontii
G000214035	s__Methyloversatilis universalis
G000214075	g__Microcoleus
G000214155	s__Mycobacterium sinense
G000214175	g__Hoyosella
G000214215	s__Marinomonas posidonica
G000214335	s__Sphingomonas sp. KC8
G000214355	s__Treponema azotonutricium
G000214415	s__Methanotorris igneus
G000214435	s__Desulfotomaculum nigrificans
G000214595	s__Methylophaga aminisulfidivorans
G000214665	s__Methylomonas methanica
G000214725	s__Methanobacterium paludis
G000214785	s__Lactobacillus kefiranofaciens
G000214825	s__Thioalkalimicrobium cyclicum
G000215085	s__Desulfotomaculum ruminis
G000215105	g__Isoptericola
G000215705	s__Ramlibacter tataouinensis
G000215745	s__[Enterobacter] aerogenes
G000215955	s__Salinisphaera shabanensis
G000215975	s__Thermodesulfobacterium geofontis
G000215995	s__Pyrococcus yayanosii
G000217675	s__Vibrio anguillarum
G000217715	s__Halopiger xanaduensis
G000217795	s__Thermodesulfatator indicus
G000217815	s__Pseudothermotoga thermarum
G000217995	g__Methanosalsum
G000218235	s__Prevotella multisaccharivorax
G000218545	s__Cellulomonas gilvus
G000218565	s__Oligotropha carboxidovorans
G000218625	g__Flexistipes
G000218765	g__Caldalkalibacillus
G000218785	s__Idiomarina sp. A28L
G000218895	s__Runella slithyformis
G000219045	s__Francisella sp. TX077308
G000219105	s__Myxococcus fulvus
G000219125	g__Acetonema
G000219175	g__Ca. Moranella
G000219355	g__Ca. Midichloria
G000219585	s__Nitrosomonas sp. Is79A3
G000219725	s__Treponema caldarium
G000219785	s__Leuconostoc sp. C2
G000219805	s__Weissella koreensis
G000220155	s__Thermophagus xiamenensis
G000220175	s__Ca. Nitrosoarchaeum koreensis
G000220235	s__Prevotella nigrescens
G000220255	s__Prevotella pallens
G000220335	s__Sporosarcina newyorkensis
G000220505	s__Microbulbifer agarilyticus
G000220525	g__Ochrovirga
G000220545	s__Marinobacterium stanieri
G000220565	s__Oceanicola sp. S124
G000220625	s__Capnocytophaga canimorsus
G000220835	s__Actinomyces sp. oral taxon 448
G000220985	s__Nesterenkonia sp. F
G000221145	s__[Propionibacterium] namnetense
G000221185	s__Thermococcus sp. 4557
G000221545	s__Megasphaera sp. UPII 135-E
G000221565	s__Peptoniphilus sp. oral taxon 375
G000221605	s__Veillonella sp. oral taxon 780
G000222105	s__Mycobacterium colombiense
G000222125	s__Pseudomonas sp. S9
G000222305	s__Borreliella bissettii
G000222485	s__Cyclobacterium marinum
G000222855	s__Succinivibrionaceae bacterium WG-1
G000223375	g__Ketogulonicigenium
G000223395	g__Pyrolobus
G000223905	s__Haloarcula hispanica
G000223985	g__Thiocapsa
G000224005	g__Marichromatium
G000224065	s__Thiorhodococcus drewsii
G000224085	s__Muricauda ruestringensis
G000224335	g__Bizionia
G000224415	g__Citricoccus
G000224475	s__halophilic archaeon DL31
G000224515	s__Desulfosporosinus sp. OT
G000224715	s__Serinicoccus profundi
G000224765	s__SAR324 cluster bacterium JCVI-SC AAA005
G000224785	s__Lentibacillus jeotgali
G000225005	s__Ectothiorhodospira sp. PHS-1
G000225325	s__Lactobacillus sanfranciscensis
G000225345	s__Roseburia hominis
G000225525	s__Streptomyces zinciresistens
G000225705	s__Collinsella tanakaei
G000225825	s__Brachybacterium squillarum
G000225995	g__Nitrospirillum
G000226215	s__Dietzia alimentaria
G000226295	g__Chloracidobacterium
G000226315	g__Micavibrio
G000226565	s__Glaciecola nitratireducens
G000226625	s__Taylorella asinigenitalis
G000226875	s__Neisseria shayeganii
G000226955	s__Sphingomonas elodea
G000227315	s__Peptoniphilus indolicus
G000227355	s__Mycoplasma iowae
G000227505	s__gamma proteobacterium HIMB55
G000227525	s__gamma proteobacterium HIMB30
G000227585	g__Ca. Glomeribacter
G000227665	s__Thioalkalimicrobium aerophilum
G000227685	s__Thioalkalivibrio paradoxus
G000227705	g__Thermobacillus
G000227725	g__Thiorhodospira
G000227745	g__Thiocystis
G000227765	s__Neisseria wadsworthii
G000228725	g__Thiorhodovibrio
G000230275	s__Acidaminococcus intestini
G000230555	g__Pelagibacterium
G000230675	s__Synechococcus sp. WH 8016
G000230695	s__Rhodanobacter denitrificans
G000230715	g__Natronobacterium
G000230735	s__Natrinema pellirubrum
G000230915	s__Paenibacillus lactis
G000230955	s__Halobacterium sp. DL1
G000231015	s__Desulfurococcus fermentans
G000231035	s__Saccharomonospora paurometabolica
G000231055	s__Saccharomonospora azurea
G000231275	s__Alistipes indistinctus
G000231385	s__Desulfosporosinus meridiei
G000231405	s__Desulfitobacterium metallireducens
G000231425	s__Cyanothece sp. ATCC 51472
G000231445	s__Commensalibacter intestini
G000233435	s__Blattabacterium sp. (Mastotermes darwiniensis)
G000233535	s__Olsenella sp. oral taxon 809
G000233655	s__Brachybacterium paraconglomeratum
G000233695	s__Desulfobacter postgatei
G000233715	s__Desulfotomaculum gibsoniae
G000233915	s__Pseudoxanthomonas spadix
G000234115	s__Alloprevotella rava
G000234805	s__Pyrobaculum ferrireducens
G000235405	s__Fervidobacterium pennivorans
G000235425	s__Frankia sp. CN3
G000235445	g__Johnsonella
G000235605	s__Desulfosporosinus orientis
G000235645	s__Staphylococcus simiae
G000235685	g__Methanolinea
G000235885	s__Prevotella stercorea
G000236035	s__Halomonas boliviensis
G000236085	s__Spiroplasma melliferum
G000236405	s__Blattabacterium punctulatus
G000236565	s__Mesorhizobium alhagi
G000236625	s__Halomonas sp. GFAJ-1
G000236665	g__Azospira
G000236685	s__Sphaerochaeta pleomorpha
G000236705	g__Owenweeksia
G000236805	s__Paenibacillus peoriae
G000236865	g__Senegalimassilia
G000237085	s__[Clostridium] clariflavum
G000237145	s__Actinoplanes sp. SE50/110
G000237205	f__Simkaniaceae
G000237285	s__Helicobacter bizzozeronii
G000237825	s__Thermanaerovibrio velox
G000237995	s__Pediococcus claussenii
G000238055	s__Oribacterium parvum
G000238095	s__Peptoanaerobacter stomatis
G000238215	g__Tannerella
G000238255	s__Pseudoalteromonas spongiae
G000238275	s__Pseudoalteromonas undina
G000238375	s__Pseudoalteromonas citrea
G000238395	s__Pseudoalteromonas arctica
G000238615	s__Synergistes sp. 3_1_syn1
G000238775	s__Acaryochloris sp. CCMEE 5410
G000238795	s__Haemophilus sputorum
G000238815	s__SAR116 cluster alpha proteobacterium HIMB100
G000238915	s__Arthrobacter globiformis
G000239275	s__Anaeroglobus geminatus
G000239355	s__Cardiobacterium valvarum
G000239695	s__Actinomyces graevenitzii
G000239815	s__Bradyrhizobium sp. STM 3843
G000240075	s__Flavobacterium columnare
G000240185	s__Klebsiella pneumoniae
G000241055	s__Oenococcus kitaharae
G000241265	s__Gordonia araii
G000241305	s__Gordonia effusa
G000241345	s__Gordonia amarae
G000241465	s__Sphingomonas echinoides
G000242195	s__Erysipelotrichaceae bacterium 21_3
G000242235	g__Stomatobaculum
G000242255	g__Frateuria
G000242335	s__Prevotella dentalis
G000242435	s__Dialister succinatiphilus
G000242455	g__Singulisphaera
G000242595	s__Spirochaeta africana
G000242615	g__Holophaga
G000242635	g__Solitalea
G000242715	s__Streptomyces acidiscabies
G000242835	s__Sphingomonas sp. PAMC 26617
G000242875	s__Ca. Nitrosopumilus salaria
G000242895	s__Bacillus sp. 1NLA3E
G000242915	s__Sulfurimonas gotlandica
G000242935	s__Opitutaceae bacterium TAV5
G000242955	s__Eubacterium sp. 3_1_31
G000243115	s__Niabella soli
G000243135	s__Desulfitobacterium dichloroeliminans
G000243155	s__Desulfitobacterium dehalogenans
G000243215	s__Odoribacter laneus
G000243235	s__Gillisia limnaea
G000243255	g__Methanoplanus
G000243315	s__Metallosphaera yellowstonensis
G000243395	s__Saccharomonospora glauca
G000243455	s__Methanotorris formicicus
G000243715	s__Leptospira broomii
G000243735	s__Leptospira kmetyi
G000243815	s__Leptospira alexanderi
G000244755	s__Leptospira licerasiae
G000244895	s__Desulfosporosinus youngiae
G000244955	s__Saccharomonospora marina
G000244975	s__Saccharomonospora cyanea
G000244995	s__Burkholderiales bacterium JOSHI_001
G000245015	s__Beggiatoa alba
G000245055	s__Desulfovibrio sp. U5L
G000245075	s__Acetobacteraceae bacterium AT-5844
G000245555	s__Paenibacillus dendritiformis
G000245715	s__Paenibacillus sp. Aloe-11
G000245755	s__Helcococcus kunzii
G000245775	s__Megamonas funiformis
G000245795	s__Facklamia languida
G000245815	g__Dolosigranulum
G000246735	s__uncultured marine group II euryarchaeote
G000246855	s__Niastella koreensis
G000246875	s__Halomonas sp. KM-1
G000246895	s__Clostridium arbusti
G000246925	s__Peptoniphilus rhinitidis
G000246945	s__Myroides injenensis
G000246985	s__Thermococcus litoralis
G000247475	s__Rhizobium sp. PDO1-076
G000247545	s__Pyrobaculum oguniense
G000247605	s__Acetobacterium woodii
G000247645	g__Salinibacterium
G000247715	s__Gordonia polyisoprenivorans
G000247895	s__Raoultella ornithinolytica
G000247995	s__Mobilicoccus pelagius
G000248015	g__Atlantibacter
G000248055	s__Gordonia sputi
G000248095	s__Lactobacillus mucosae
G000250655	s__Paenibacillus mucilaginosus
G000250675	s__Nocardia brasiliensis
G000251105	s__Methanocella conradii
G000252125	s__Flavobacterium frigoris
G000252445	s__Deinococcus gobiensis
G000252525	s__SAR86 cluster bacterium SAR86A
G000252625	s__Listeria fleischmannii
G000252665	s__Ca. Arthromitus sp. SFB-1
G000252685	s__Ca. Arthromitus sp. SFB-2
G000252705	s__Ca. Arthromitus sp. SFB-3
G000252725	s__Ca. Arthromitus sp. SFB-4
G000252745	s__Ca. Arthromitus sp. SFB-5
G000252765	s__Ca. Arthromitus sp. SFB-co
G000252785	s__Ca. Arthromitus sp. SFB-mouse-SU
G000252855	s__Riemerella anatipestifer
G000252955	s__Xenorhabdus nematophila
G000253035	s__Parachlamydia acanthamoebae
G000253055	s__Thermoproteus tenax
G000253115	s__Thiomonas arsenitoxydans
G000253235	s__Streptomyces venezuelae
G000253275	s__Flavobacterium branchiophilum
G000253295	s__Hyphomicrobium sp. MC1
G000255115	s__Desulfosporosinus acidiphilus
G000255135	s__Marinitoga piezophila
G000255295	g__Corallococcus
G000255355	s__Rickettsia helvetica
G000255455	s__Aquimarina agarilytica
G000255495	s__Lactobacillus vini
G000255535	g__Rahnella
G000255555	s__Treponema saccharophilum
G000255655	g__Schlesneria
G000255705	g__Zavarzinella
G000257395	g__Diplorickettsia
G000257665	g__Ca. Aquiluna
G000257745	s__Mycobacterium xenopi
G000258175	s__Saccharomonospora xinjiangensis
G000258405	g__Ignavibacterium
G000258425	o__Fervidicoccales
G000258495	s__Pedobacter agri
G000258515	s__Thermococcus zilligii
G000258765	s__Gillisia marina
G000259075	s__Marinilabilia salmonicolor
G000259095	s__Citreicella sp. 357
G000259175	s__Providencia stuartii
G000259575	s__gamma proteobacterium BDW918
G000260115	s__Joostella marina
G000260135	s__Thiothrix nivea
G000260275	s__Staphylococcus pettenkoferi
G000260635	s__Lactobacillus acidipiscis
G000260835	s__Imtechella halotolerans
G000260965	s__Methylophaga frappieri
G000260985	s__Methylophaga nitratireducenticrescens
G000261485	s__Ensifer sojae
G000262245	g__Pasteurella
G000262305	g__Shimwellia
G000262365	s__Leptospirillum sp. Group II 'C75'
